Mr. Brightside;The Killers;2004;76;0.356;0.924;0.0953;148.017;4
Beautiful Day;U2;2000;64;0.539;0.926;0.36;136.279;4
House Of The Rising Sun;The Animals;1964;70;0.295;0.584;0.0996;117.2;3
Lola;The Kinks;1970;70;0.474;0.917;0.201;152.113;4
Loser;Beck;1994;70;0.654;0.611;0.405;85.387;4
Killing In The Name;Rage Against The Machine;1992;78;0.466;0.833;0.0327;88.785;4
All My Life;Foo Fighters;2002;1;0.583;0.586;0.494;167.798;4
Walk This Way;Aerosmith;1975;75;0.653;0.73;0.0754;108.705;4
Sultans of Swing;Dire Straits;1978;67;0.73;0.868;0.318;148.217;4
We Will Rock You;Queen;1977;69;0.693;0.497;0.258;81.308;4
Song 2;Blur;1997;76;0.674;0.789;0.0754;129.804;4
Love Will Tear Us Apart;Joy Division;2010;60;0.525;0.902;0.137;146.83;4
Where The Streets Have No Name;U2;1987;66;0.49;0.724;0.159;125.812;4
In the End;Linkin Park;2000;84;0.556;0.864;0.209;105.143;4
Good Vibrations;The Beach Boys;1967;70;0.396;0.473;0.109;133.449;4
All Right Now;Free;1970;70;0.787;0.472;0.153;120.059;4
Changes;David Bowie;1971;65;0.547;0.308;0.109;114.719;4
Paradise City;Guns N' Roses;1987;1;0.274;0.949;0.218;100.346;4
One (Remastered);Metallica;1988;67;0.438;0.687;0.42;103.01;3
Hey Joe;Jimi Hendrix;1967;71;0.346;0.768;0.0244;169.492;4
Sunshine Of Your Love;Cream;2004;71;0.683;0.594;0.121;115.099;4
Give It Away;Red Hot Chili Peppers;1991;73;0.666;0.936;0.153;91.577;4
Take Me Out;Franz Ferdinand;2004;74;0.278;0.676;0.136;104.545;4
Sweet Home Alabama;Lynyrd Skynyrd;1974;82;0.596;0.605;0.0863;97.798;4
Highway to Hell;AC/DC;1979;84;0.574;0.913;0.156;115.728;4
L.A. Woman;The Doors;1971;67;0.354;0.731;0.115;170.64;4
American Idiot;Green Day;2004;79;0.38;0.988;0.368;186.113;4
Black Hole Sun;Soundgarden;1994;76;0.35;0.828;0.0774;105.435;4
Maggie May;Rod Stewart;1971;72;0.605;0.574;0.0684;129.449;4
It's The End Of The World As We Know It (And I Feel Fine);R.E.M.;1987;69;0.381;0.894;0.0251;205.528;4
Once in a Lifetime;Talking Heads;1980;71;0.644;0.919;0.622;117.459;4
Strawberry Fields Forever;The Beatles;1967;70;0.39;0.502;0.0713;97.871;4
Riders on the Storm;The Doors;1971;74;0.549;0.722;0.11;103.885;4
Thunderstruck;AC/DC;1990;82;0.502;0.89;0.217;133.52;4
Wonderwall;Oasis;1995;40;0.372;0.865;0.234;174.53;4
Good Riddance (Time of Your Life);Green Day;1997;75;0.475;0.432;0.161;94.605;4
The Boys Are Back In Town;Thin Lizzy;1976;74;0.445;0.706;0.205;80.823;4
Interstate Love Song;Stone Temple Pilots;1994;72;0.215;0.927;0.126;170.814;4
Start Me Up;The Rolling Stones;1981;76;0.631;0.932;0.0918;122.429;4
Blitzkrieg Bop;Ramones;1976;71;0.385;0.783;0.108;176.701;4
Fight For Your Right;Beastie Boys;1986;69;0.503;0.858;0.0803;133.615;5
The One I Love;R.E.M.;1987;64;0.488;0.84;0.346;127.862;4
Walk On the Wild Side;Lou Reed;1972;75;0.575;0.318;0.0934;104.522;4
Under Pressure;Studio Allstars;2009;0;0.819;0.543;0.0743;114.981;4
Yellow;Coldplay;2000;84;0.429;0.661;0.234;173.372;4
Ramble On;Led Zeppelin;1969;70;0.468;0.607;0.225;98.429;4
We Are The Champions;Queen;1977;64;0.268;0.459;0.119;64.223;4
Go Your Own Way;Fleetwood Mac;1977;75;0.586;0.941;0.068;135.448;4
Numb;Linkin Park;2003;82;0.496;0.863;0.639;110.018;4
Blue Monday;New Order;2005;69;0.793;0.703;0.075;130.27;4
